,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...
2499073D UN Equity,IHS MARKIT LTD,GB,USD,Industrials,Commercial & Professional Serv,Professional Services,Research & Consulting Services,#N/A N/A
2499073D UW Equity,IHS MARKIT LTD,GB,USD,Industrials,Commercial & Professional Serv,Professional Services,Research & Consulting Services,#N/A N/A
2502261D UN Equity,TEKTRONIX INC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2544554D UW Equity,SANDISK LLC,US,USD,Information Technology,Technology Hardware & Equipmen,"Technology Hardware, Storage &","Technology Hardware, Storage &",#N/A N/A
2557974D UN Equity,PEPCO HOLDINGS LLC,US,USD,Utilities,Utilities,Electric Utilities,Electric Utilities,#N/A N/A
2558202D UN Equity,SCRIPPS NETWORKS INTER-CL A,US,USD,Communication Services,Media & Entertainment,Media,Broadcasting,#N/A N/A
2558202D UW Equity,SCRIPPS NETWORKS INTER-CL A,US,USD,Communication Services,Media & Entertainment,Media,Broadcasting,#N/A N/A
2572102D UN Equity,KP PHARMACEUTICALS LLC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2584271D UN Equity,PLUM CREEK TIMBER CO,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2596482D UN Equity,CAMERON INTERNATIONAL CORP,US,USD,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,#N/A N/A
2596516D UN Equity,COMPUTER SCIENCES CORP,US,USD,Information Technology,Software & Services,IT Services,IT Consulting & Other Services,#N/A N/A
2641504Q UN Equity,SOLECTRON CORP,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2942331Q UN Equity,BEAR STEARNS COS LLC/THE,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2968900Q UN Equity,IHEARTCOMMUNICATIONS INC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2987536Q UN Equity,SYMBOL TECHNOLOGIES LLC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2999130Q UN Equity,BASF CATALYSTS LLC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
3022239Q UN Equity,WENDY'S INTERNATIONAL LLC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
3026360Q UN Equity,SCIENTIFIC-ATLANTA LLC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
3080867Q UN Equity,MAYTAG CORP,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
3123739Q LN Equity,PEARL GROUP HOLDINGS NO 1 LT,GB,GBp,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
3133754Q UN Equity,AMSOUTH BANCORPORATION,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
3286728Q UN Equity,APPLIED BIOSYSTEMS INC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
3362726Q UN Equity,ANYWHERE REAL ESTATE GROUP L,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
3393199Q UN Equity,ANHEUSER-BUSCH COS INC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
3403545Q UN Equity,DOLLAR GENERAL CORP/OLD,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
3414924Q US Equity,AVAYA LLC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
3423152Q UN Equity,PERATON ENTERPRISE SOLUTIONS,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
3517233Q UN Equity,UST LLC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
3572335Q LN Equity,CARPHONE WAREHOUSE GROUP\OLD,GB,GBp,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
3605818Q UN Equity,HCA INC/OLD,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
3692470Q UN Equity,ALLTEL CORP,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
4621824Q UN Equity,KINDER MORGAN KANSAS INC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
5656565D UN Equity,TRANE INC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
8206908Q UQ Equity,BBVA USA BANCSHARES INC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
8206908Q UW Equity,BBVA USA BANCSHARES INC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
8277831Q UN Equity,CONDUENT BUSINESS SERVICES L,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
8394653Q UN Equity,PROLOGIS,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
929530Q UN Equity,BURLINGTON RESOURCES INC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
9876544D UN Equity,INTL GAME TECHNOLOGY,US,USD,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Casinos & Gaming,#N/A N/A
9876549D UN Equity,NIELSEN NV,US,USD,Industrials,Commercial & Professional Serv,Professional Services,Research & Consulting Services,#N/A N/A
9876566D UN Equity,CHUBB CORP,US,USD,Financials,Insurance,Insurance,Property & Casualty Insurance,#N/A N/A
9903115D UN Equity,BLACKROCK FINANCE INC,US,USD,Financials,Financial Services,Capital Markets,Asset Management & Custody Ban,#N/A N/A
9980328D UN Equity,LABORATORY CRP OF AMER HLDGS,US,USD,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services,#N/A N/A
